model,dataset_id,page_index,tokens_total,tokens_correct,tokens_wrong,extra_pred_tokens,substitutions,deletions,insertions,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-plain,21,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,5,9,9,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,9,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,10,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,11,6,6,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,12,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,1,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,2,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,3,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,4,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,5,9,8,1,0,1,0,0,0.888889,88.89
LLM Google Gemini-3.5 Flash-plain,24,6,2,2,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,7,4,4,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,8,3,3,0,0,0,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,9,3,3,0,0,0,0,0,1.000000,100.00
