dataset_id,page_idx,gt_tokens,pred_tokens,correct,substitutions,deletions,insertions,accuracy
31,6,4,4,4,0,0,0,1.000000
31,7,3,3,3,0,0,0,1.000000
31,8,3,3,3,0,0,0,1.000000
31,9,6,6,6,0,0,0,1.000000
31,10,6,6,6,0,0,0,1.000000
31,11,4,4,4,0,0,0,1.000000
32,0,2,2,2,0,0,0,1.000000
32,1,4,4,4,0,0,0,1.000000
32,2,4,4,4,0,0,0,1.000000
32,3,4,4,4,0,0,0,1.000000
32,4,9,9,9,0,0,0,1.000000
32,5,2,2,2,0,0,0,1.000000
32,6,4,4,4,0,0,0,1.000000
32,7,3,3,3,0,0,0,1.000000
32,8,3,3,3,0,0,0,1.000000
32,9,6,6,6,0,0,0,1.000000
32,10,6,6,6,0,0,0,1.000000
32,11,4,4,4,0,0,0,1.000000
33,0,2,2,2,0,0,0,1.000000
33,1,4,4,4,0,0,0,1.000000
33,2,4,4,4,0,0,0,1.000000
33,3,4,4,4,0,0,0,1.000000
33,4,9,9,9,0,0,0,1.000000
33,5,2,2,2,0,0,0,1.000000
33,6,4,4,4,0,0,0,1.000000
33,7,3,3,3,0,0,0,1.000000
33,8,3,3,3,0,0,0,1.000000
33,9,6,6,6,0,0,0,1.000000
33,10,6,6,6,0,0,0,1.000000
33,11,4,4,4,0,0,0,1.000000
34,0,2,2,2,0,0,0,1.000000
34,1,4,4,3,1,0,0,0.750000
34,2,4,4,3,1,0,0,0.750000
34,3,4,4,4,0,0,0,1.000000
34,4,9,9,9,0,0,0,1.000000
34,5,2,2,2,0,0,0,1.000000
34,6,4,4,4,0,0,0,1.000000
34,7,3,3,3,0,0,0,1.000000
34,8,3,3,3,0,0,0,1.000000
34,9,6,6,6,0,0,0,1.000000
34,10,6,6,6,0,0,0,1.000000
34,11,4,4,4,0,0,0,1.000000
35,0,2,9,2,0,0,7,1.000000
35,1,4,4,4,0,0,0,1.000000
35,2,4,4,4,0,0,0,1.000000
35,3,4,4,4,0,0,0,1.000000
35,4,9,9,9,0,0,0,1.000000
35,5,2,2,2,0,0,0,1.000000
35,6,4,4,4,0,0,0,1.000000
35,7,3,3,3,0,0,0,1.000000
35,8,3,3,3,0,0,0,1.000000
35,9,6,6,6,0,0,0,1.000000
35,10,6,6,6,0,0,0,1.000000
35,11,4,4,4,0,0,0,1.000000
36,0,2,2,2,0,0,0,1.000000
36,1,4,4,4,0,0,0,1.000000
36,2,4,4,4,0,0,0,1.000000
36,3,4,4,4,0,0,0,1.000000
36,4,9,9,9,0,0,0,1.000000
36,5,2,2,2,0,0,0,1.000000
36,6,4,4,4,0,0,0,1.000000
36,7,3,3,3,0,0,0,1.000000
36,8,3,3,3,0,0,0,1.000000
36,9,6,6,6,0,0,0,1.000000
36,10,6,6,6,0,0,0,1.000000
36,11,4,4,4,0,0,0,1.000000
37,0,2,2,2,0,0,0,1.000000
37,1,4,4,4,0,0,0,1.000000
37,2,4,4,4,0,0,0,1.000000
37,3,4,4,4,0,0,0,1.000000
37,4,9,9,9,0,0,0,1.000000
37,5,2,2,2,0,0,0,1.000000
37,6,4,4,4,0,0,0,1.000000
37,7,3,3,3,0,0,0,1.000000
37,8,3,3,3,0,0,0,1.000000
37,9,6,6,6,0,0,0,1.000000
37,10,6,6,6,0,0,0,1.000000
37,11,4,4,4,0,0,0,1.000000
38,0,2,2,2,0,0,0,1.000000
38,1,4,4,4,0,0,0,1.000000
38,2,4,4,4,0,0,0,1.000000
38,3,4,4,4,0,0,0,1.000000
38,4,9,9,9,0,0,0,1.000000
38,5,2,2,2,0,0,0,1.000000
38,6,4,4,4,0,0,0,1.000000
38,7,3,3,3,0,0,0,1.000000
38,8,3,3,3,0,0,0,1.000000
38,9,6,6,6,0,0,0,1.000000
38,10,6,6,6,0,0,0,1.000000
38,11,4,4,4,0,0,0,1.000000
39,0,2,2,2,0,0,0,1.000000
39,1,4,4,4,0,0,0,1.000000
39,2,4,4,4,0,0,0,1.000000
39,3,4,4,4,0,0,0,1.000000
39,4,9,9,9,0,0,0,1.000000
39,5,2,2,2,0,0,0,1.000000
39,6,4,4,4,0,0,0,1.000000
39,7,3,3,3,0,0,0,1.000000
39,8,3,3,3,0,0,0,1.000000
39,9,6,6,6,0,0,0,1.000000
39,10,6,6,6,0,0,0,1.000000
39,11,4,4,4,0,0,0,1.000000
40,0,2,2,2,0,0,0,1.000000
